time,settlement_1,settlement_2,settlement_3,settlement_4
2025/3/26 18:00,37.64,33.61,38.34,30.62
2025/3/26 18:10,37.58,33.63,38.34,30.58
2025/3/26 18:20,37.58,33.57,38.32,30.54
2025/3/26 18:30,37.54,33.61,38.32,30.52
2025/3/26 18:40,37.52,33.57,38.24,30.5
2025/3/26 18:50,37.43,33.43,38.24,30.46
2025/3/26 19:00,37.41,33.41,38.24,30.46
2025/3/26 19:10,37.39,33.37,38.24,30.44
2025/3/26 19:20,37.39,33.43,38.14,30.44
2025/3/26 19:30,37.37,33.19,38.14,30.36
2025/3/26 19:40,37.37,33.37,38.18,30.4
2025/3/26 19:50,37.37,33.21,38.16,30.36
2025/3/26 20:00,37.35,33.37,38.08,30.26
2025/3/26 20:10,37.33,33.39,38.12,30.34
2025/3/26 20:20,37.33,33.35,38.1,30.32
2025/3/26 20:30,37.27,33.31,38.08,30.3
2025/3/26 20:40,37.25,33.27,38.06,30.28
2025/3/26 20:50,37.25,33.31,38.06,30.28
2025/3/26 21:00,37.25,33.31,38.06,30.26
2025/3/26 21:10,37.23,33.21,38,30.22
2025/3/26 21:20,37.21,33.27,38.02,30.24
2025/3/26 21:30,37.21,33.13,37.98,30.18
2025/3/26 21:40,37.21,33.25,38.02,30.22
2025/3/26 21:50,37.19,33.25,38.02,30.22
2025/3/26 22:00,37.19,33.23,38,30.2
2025/3/26 22:10,37.19,33.25,37.98,30.18
2025/3/26 22:20,37.08,33.23,38,30.16
2025/3/26 22:30,37.08,33.15,38,30.18
2025/3/26 22:40,37.06,33.15,37.98,30.2
2025/3/26 22:50,37.04,33.09,37.98,30.16
2025/3/26 23:00,37.04,33.19,37.96,30.18
2025/3/26 23:10,37.04,33.17,37.96,30.16
2025/3/26 23:20,37.02,33.17,37.96,30.16
2025/3/26 23:30,37.02,33.05,37.94,30.12
2025/3/26 23:40,37.02,33.17,37.94,30.14
2025/3/26 23:50,36.96,33.13,37.94,30.14
